epoch,step,train/acc_speed,train/acc_x,train/acc_y,train/acc_yaw,train/loss_all,train/loss_forecast,train/loss_path,train/loss_speed,train/loss_wp,train/loss_x,train/loss_y,train/loss_yaw
0,3948,0.7487287521362305,0.11273028701543808,0.3589242398738861,0.7527373433113098,3.638335943222046,1.7004698514938354,0.211385577917099,0.770757257938385,0.8809356093406677,3.2431437969207764,2.0728960037231445,0.7150745987892151
1,7897,0.7857259511947632,0.20927442610263824,0.5369834899902344,0.8563162684440613,2.0877671241760254,1.1458895206451416,0.09046297520399094,0.5789847373962402,0.48956337571144104,2.344359874725342,1.2753406763076782,0.3848709464073181
2,11846,0.7988452315330505,0.28314080834388733,0.6067630052566528,0.8820071816444397,1.7256100177764893,0.9543269872665405,0.07215399295091629,0.5272880792617798,0.41051068902015686,1.957631230354309,1.0252726078033447,0.30711761116981506
3,15795,0.8074483871459961,0.3517855405807495,0.6491023302078247,0.8941230177879333,1.5124270915985107,0.8319182395935059,0.06224444508552551,0.4971300959587097,0.36928683519363403,1.6767549514770508,0.8836008906364441,0.2701878249645233
4,19744,0.8123893737792969,0.39697709679603577,0.6767159700393677,0.9015586972236633,1.3802788257598877,0.7583215832710266,0.055580686777830124,0.47927433252334595,0.34405699372291565,1.5081019401550293,0.7977346777915955,0.24816976487636566
5,23693,0.8160713315010071,0.4273604154586792,0.695558488368988,0.9069669842720032,1.2970539331436157,0.7125070691108704,0.05153346061706543,0.46696946024894714,0.3268796503543854,1.4075120687484741,0.7424221038818359,0.2331264764070511
6,27642,0.8188192844390869,0.45013460516929626,0.7096814513206482,0.9108337163925171,1.2362436056137085,0.6802079677581787,0.048704974353313446,0.457666277885437,0.3125113546848297,1.3379185199737549,0.702825129032135,0.22242209315299988
7,31591,0.8210086226463318,0.4699416160583496,0.7216957211494446,0.9142767786979675,1.1870248317718506,0.6537520289421082,0.04618708789348602,0.45012062788009644,0.3023407757282257,1.2814677953720093,0.6701453924179077,0.2132696509361267
8,35540,0.8231844305992126,0.48592689633369446,0.7314252257347107,0.9169452786445618,1.146056056022644,0.6331323385238647,0.04428563639521599,0.44320642948150635,0.2914943993091583,1.2382606267929077,0.6448887586593628,0.2061738222837448
9,39489,0.824810802936554,0.5000767707824707,0.7394770979881287,0.9190202951431274,1.11752188205719,0.6155053377151489,0.04343719780445099,0.4378335773944855,0.2848292291164398,1.1998385190963745,0.6238148808479309,0.2005351185798645
